infection_rate,recovery_rate,prevalence,steps
0.0010,0.0500,0.000000,2000
0.0060,0.0500,0.093276,403
0.0110,0.0500,0.295514,2000
0.0160,0.0500,0.440258,2000
0.0210,0.0500,0.540492,2000
0.0260,0.0500,0.610924,2000
0.0310,0.0500,0.661332,2000
0.0360,0.0500,0.700244,2000
0.0410,0.0500,0.726864,2000
0.0460,0.0500,0.750518,2000
0.0510,0.0500,0.771402,2000
0.0560,0.0500,0.784692,2000
0.0610,0.0500,0.803104,2000
0.0660,0.0500,0.815542,2000
0.0710,0.0500,0.826400,2000
0.0760,0.0500,0.831548,2000
0.0810,0.0500,0.840770,2000
0.0860,0.0500,0.848812,2000
0.0910,0.0500,0.857090,2000
0.0960,0.0500,0.862668,2000
0.1010,0.0500,0.870516,2000
0.1060,0.0500,0.873404,2000
0.1110,0.0500,0.878550,2000
0.1160,0.0500,0.883114,2000
0.1210,0.0500,0.886126,2000
0.1260,0.0500,0.890106,2000
0.1310,0.0500,0.892730,2000
0.1360,0.0500,0.894654,2000
0.1410,0.0500,0.899466,2000
0.1460,0.0500,0.900630,2000
